U set;U ctul;I set;I ctul;P set;P ctul;R set;R ctul;R mode;Output/Input;Deice mode;Error;Time
40;3.55;0.1;0.122;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:47.637
40;3.59;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:52.637
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:57.636
40;3.59;0.1;0.114;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:02.636
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:07.636
40;3.54;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:12.636
40;3.54;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:17.636
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:22.636
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:27.636
40;3.53;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:32.636
40;3.59;0.1;0.121;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:37.636
40;3.55;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:42.636
40;3.54;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:47.636
40;3.56;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:52.636
40;3.58;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:16:57.636
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:02.636
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:07.636
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:12.636
40;3.59;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:17.636
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:22.636
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:27.636
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:32.636
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:37.636
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:42.635
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:47.635
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:52.635
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:17:57.635
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:02.635
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:07.635
40;3.61;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:12.635
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:17.635
40;3.61;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:22.635
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:27.635
40;3.56;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:32.635
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:37.635
40;3.58;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:42.635
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:47.635
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:52.635
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:18:57.635
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:02.635
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:07.635
40;3.59;0.1;0.12;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:12.634
40;3.55;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:17.635
40;3.54;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:22.635
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:27.635
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:32.634
40;3.54;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:37.634
40;3.54;0.1;0.121;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:42.634
40;3.6;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:47.634
40;3.57;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:52.634
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:19:57.634
40;3.59;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:02.634
40;3.63;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:07.634
40;3.56;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:12.634
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:17.634
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:22.634
40;3.56;0.1;0.115;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:27.634
40;3.54;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:32.634
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:37.634
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:42.634
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:47.634
40;3.6;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:52.634
40;3.6;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:20:57.634
40;3.54;0.1;0.112;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:02.634
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:07.633
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:12.633
40;3.56;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:17.633
40;3.59;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:22.633
40;3.61;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:27.633
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:32.633
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:37.633
40;3.63;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:42.633
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:47.633
40;3.54;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:52.633
40;3.58;0.1;0.112;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:21:57.633
40;3.56;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:22:02.633
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:22:07.633
40;3.59;0.1;0.115;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:22:12.633
40;3.58;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:22:17.633
40;3.59;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:22:22.632
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:22:27.633
40;3.61;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:22:32.633
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:22:37.633
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:22:42.633
