U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
40.00V;2.91V;0.100A;0.120A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:17.531
40.00V;2.88V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:22.533
40.00V;2.86V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:27.530
40.00V;2.94V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:32.524
40.00V;2.92V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:37.531
40.00V;2.89V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:42.524
40.00V;2.87V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:47.523
40.00V;2.92V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:52.532
40.00V;2.92V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:57.525
40.00V;2.88V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:59:02.534
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:59:07.523
40.00V;2.86V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:59:12.525
40.00V;2.88V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:59:17.523
40.00V;2.91V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:59:22.529
40.00V;2.88V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:59:27.537
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:59:32.546
40.00V;2.93V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:59:37.542
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:59:42.549
