U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:03.684
40.00V;2.98V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:08.687
40.00V;3.03V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:13.696
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:18.708
40.00V;3.03V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:23.720
40.00V;3.01V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:28.741
40.00V;2.99V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:33.743
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:38.744
40.00V;2.98V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:43.761
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:48.766
40.00V;2.97V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:53.773
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:47:58.780
40.00V;2.97V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:03.781
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:08.789
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:13.810
40.00V;2.99V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:18.817
40.00V;3.02V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:23.818
40.00V;3.01V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:28.826
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:33.839
40.00V;2.98V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:38.847
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:43.863
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:48.875
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:53.901
40.00V;2.98V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:48:58.895
40.00V;2.99V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:03.907
40.00V;3.04V;0.100A;0.095A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:08.928
40.00V;3.02V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:13.937
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:18.960
40.00V;2.97V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:23.975
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:28.997
40.00V;3.04V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:33.994
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:39.011
40.00V;3.02V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:44.013
40.00V;3.00V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:49.014
40.00V;3.01V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:54.002
40.00V;3.02V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:49:59.018
40.00V;3.01V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:04.033
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:09.054
40.00V;3.01V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:14.070
40.00V;2.98V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:19.084
40.00V;2.98V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:24.100
40.00V;2.99V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:29.113
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:34.111
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:39.122
40.00V;2.98V;0.100A;0.100A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:44.121
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:49.122
40.00V;2.98V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:54.133
40.00V;3.01V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:50:59.124
